label,StreetNa_1,county,labelDirec,Angle
Eighth Avenue,8th Ave,New York County,,36.13537661
Seventh Avenue,7th Ave,New York County,,36.57303098
Second Avenue,2nd Ave,New York County,,39.80557109
Third Avenue,3rd Ave,New York County,,36.29262973
University Place,University Pl,New York County,,41.2570117
14th Street,W 14th St,New York County,,-67.02168265
Elizabeth Street,Elizabeth St,New York County,,21.97450799
Madison Avenue,Madison Ave,New York County,,36.41637852
Ninth Avenue,9th Ave,New York County,,36.57303098
10th Street,W 10th St,New York County,,81.40408856
44th Street,W 44th St,New York County,,-67.35518045
46th Street,W 46th St,New York County,,-66.86053824
49th Street,W 49th St,New York County,,-67.30620505
51st Street,W 51st St,New York County,,-67.35319769
48th Street,W 48th St,New York County,,-66.64443514
Lexington Avenue,Lexington Ave,New York County,,36.13537661
Tenth Avenue,10th Ave,New York County,,36.08507304
Broadway,Broadway,New York County,,40.70261334
First Avenue,1st Ave,New York County,,35.21759296
Hudson Street,Hudson St,New York County,,12.69958449
34th Street,E 34th St,New York County,,-66.25050551
57th Street,W 57th St,New York County,,-67.28166462
Vanderbilt Avenue,Vanderbilt Ave,New York County,,36.72410717
Christopher Street,Christopher St,New York County,,80.83765295
45th Street,W 45th St,New York County,,-67.02168265
47th Street,W 47th St,New York County,,-67.13957627
50th Street,W 50th St,New York County,,-66.29735405
72nd Street,W 72nd St,New York County,,-67.35087266
Washington Street,Washington St,New York County,,11.76828893
56th Street,W 56th St,New York County,,-66.69789419
Thompson Street,Thompson St,New York County,,39.94977157
Fifth Avenue,5th Ave,New York County,,35.88213725
Fourth Avenue,4th Ave,Kings County,L,23.47099312
86th Street,86th St,Kings County,L,-76.8142387
5th Avenue,5th Ave,Kings County,R,40.33314163
,,11215,,0.002598557
,,NY,5th Avenue,5th Ave
34th Street,W 34th St,New York County,,-67.06789956
SixthAvenue,6th Ave,New York County,L,36.57303098
Avenue A,Avenue A,New York County,R,35.75388725
Bowery,Bowery,New York County,R,31.75948009
Houston Street,E Houston St,New York County,L,-73.36119433
Eldridge Street,Eldridge St,New York County,L,26.95217893
Allen Street,Allen St,New York County,,21.60552724
West Broadway,W Broadway,New York County,L,37.92646233
Eighth Street,E 8th St,New York County,R,-67.38013505
14th Street,E 14th St,New York County,,-67.73941778
17th Street,E 17th St,New York County,R,-66.91068293
12th Street,E 12th St,New York County,R,-67.27026792
Astor Place,Astor Pl,New York County,L,-80.53767779
Cooper Square,Cooper Sq,New York County,R,36.86989765
St Marks Place,St Marks Pl,New York County,R,-67.19545953
Fourth Avenue,4th Ave,New York County,R,14.42077313
Irving Place,Irving Pl,New York County,R,35.69005982
4th Street,W 4th St,New York County,L,-63.43494882
Lafayette Street,Lafayette St,New York County,R,40.64892205
Park Avenue,Park Ave S,New York County,R,37.20792192
19th Street,E 19th St,New York County,R,-66.93538223
,E 1st St,New York County,,-67.69379495
Broad Street,Broad St,New York County,L,30.17352003
Wall Street,Wall St,New York County,L,-57.26477373
Maiden Lane,Maiden Ln,New York County,R,-51.80905018
Nassau Street,Nassau St,New York County,,48.12213047
Pine Street,Pine St,New York County,L,-59.95356475
Church Street,Church St,New York County,,40.23635831
Chambers Street,Chambers St,New York County,R,-64.37413977
Greenwich Street,Greenwich St,New York County,,12.6525565
Avenue B,Avenue B,New York County,R,36.43085812
Avenue C,Avenue C,New York County,L,36.59108827
23rd Street,E 23rd St,New York County,R,-66.80140949
23rd Street,W 23rd St,New York County,R,-67.20723243
21st Street,E 21st St,New York County,L,-66.94869908
86th Street,E 86th St,New York County,R,-66.97450799
96th Street,E 96th St,New York County,R,-67.11487871
York Avenue,York Ave,New York County,R,36.13537661
Park Avenue,Park Ave,New York County,,38.15722659
Greene Street,Greene St,New York County,R,40.17314122
Mercer Street,Mercer St,New York County,L,40.40574667
Prince Street,Prince St,New York County,R,-66.89367314
Varick Street,Varick St,New York County,R,10.78429787
42nd Street,E 42nd St,New York County,L,-66.80140948
42nd Street,W 42nd St,New York County,,-67.25843647
57th Street,E 57th St,New York County,L,-67.45282233
51st Street,E 51st St,New York County,L,-67.59016263
Amsterdam Avenue,Amsterdam Ave,New York County,L,36.09828397
Columbus Avenue,Columbus Ave,New York County,R,35.77607772
125th Street,W 125th St,New York County,R,-67.31944039
Mulberry Street,Mulberry St,New York County,R,21.52260011
Broome Street,Broome St,New York County,L,-61.69924424
Sullivan Street,Sullivan St,New York County,L,41.6636633
21st Street,W 21st St,New York County,R,-67.10273688
Seventh Avenue,7th Ave S,New York County,R,30.35811546
Wooster Street,Wooster St,New York County,R,40.40574667
Eighth Street,W 8th St,New York County,R,-65.86514157
Crosby Street,Crosby St,New York County,R,41.03534528
Canal Street,Canal St,New York County,R,-53.97262662
86th Street,W 86th St,New York County,L,-67.41268947
85th Street,W 85th St,New York County,R,-67.31347332
79th Street,W 79th St,New York County,R,-67.02945119
16th Street,E 16th St,New York County,R,-67.12633481
15th Street,E 15th St,New York County,R,-66.87347961
17th Street,W 17th St,New York County,R,-67.10273688
16th Street,W 16th St,New York County,R,-67.10273688
15th Street,W 15th St,New York County,R,-67.10273688
Thirteenth Street,W 13th St,New York County,L,-67.26058222
Orchard Street,Orchard St,New York County,L,27.15979569
Ludlow Street,Ludlow St,New York County,L,27.1304517
11th Street,W 11th St,New York County,L,81.20258929
Perry Street,Perry St,New York County,R,81.78079075
Bank Street,Bank St,New York County,R,83.3106846
West Street,West St,New York County,R,4.714754517
Charles Street,Charles St,New York County,L,81.86989765
Essex Street,Essex St,New York County,L,27.61302782
Grand Street,Grand St,New York County,,-63.74975763
Franklin Street,Franklin St,New York County,,-65.69545073
60th Street,E 60th St,New York County,L,-67.4964715
West End Avenue,West End Ave,New York County,R,35.45547444
10th Street,E 10th St,New York County,R,-66.9564022
Worth Street,Worth St,New York County,,-65.01876039
Duane Street,Duane St,New York County,L,-53.42696902
Reade Street,Reade St,New York County,R,-65.19980662
Centre Street,Centre St,New York County,R,36.86989764
12th Street,Little West 12th St,New York County,L,-66.45996073
48th Street,E 48th St,New York County,R,-67.32865638
Warren Street,Warren St,New York County,R,-65.40422846
116th Street,E 116th St,New York County,L,-67.01785231
106th Street,E 106th St,New York County,L,-67.06789956
106th Strett,E 106th St,New York County,L,-67.03622694
29th Street,W 29th St,New York County,R,-66.83256543
125th Street,E 125th St,New York County,L,-67.83365418
73rd Street,E 73rd St,New York County,L,-67.10273688
Watts Street,Watts St,New York County,R,-80.15886824
Sixth Avenue,6th Ave,New York County,R,-1.397181024
Vestry Street,Vestry St,New York County,L,-84.59620864
Desbrosses Street,Desbrosses St,New York County,R,-83.78817797
Laight Street,Laight St,New York County,L,-84.21760768
Spring Street,Spring St,New York County,L,-67.543061
Bleeker Street,Bleecker St,New York County,r,-75.37912601
55th Street,E 55th St,New York County,R,-67.67134362
59th Street,E 59th St,New York County,L,-66.13982481
