OBJECTID,label,StreetNa_1,county,labelDirec,Angle
1222399,Eighth Avenue,W 29th St,New York County,,-65.82089285
1222401,Eighth Avenue,W 30th St,New York County,,-67.06789956
1222402,Seventh Avenue,W 27th St,New York County,,-67.29362916
1222435,Third Avenue,E 17th St,New York County,,-66.89819281
1222436,Third Avenue,E 17th St,New York County,,-67.27850185
1222439,Third Avenue,E 19th St,New York County,,-67.27850185
1222464,Ninth Avenue,W 25th St,New York County,,-67.31944039
1222476,Third Avenue,E 20th St,New York County,,-67.77037891
1222477,Third Avenue,E 22nd St,New York County,,-66.95322625
1222478,Third Avenue,E 25th St,New York County,,-67.27026792
1222479,Third Avenue,E 25th St,New York County,,-66.97450799
1222489,Tenth Avenue,W 22nd St,New York County,,-67.09423034
1222493,Tenth Avenue,,New York County,,24.22774532
1222529,Broadway,Howard St,New York County,,-60.88385373
1222538,First Avenue,E 15th St,New York County,,-67.06789956
1222542,First Avenue,E 18th St,New York County,,-66.74258427
1222543,Tenth Avenue,W 25th St,New York County,,-67.9887168
1222544,Tenth Avenue,W 24th St,New York County,,-67.16634582
1222545,Tenth Avenue,W 27th St,New York County,,-68.74949449
1222548,Ninth Avenue,W 24th St,New York County,,-67.16634582
1222553,Lexington Avenue,E 25th St,New York County,,-66.97450799
1222557,Lexington Avenue,E 28th St,New York County,,-67.38013505
1222575,Greenwich Street,Christopher St,New York County,,78.00916502
1222576,Hudson Street,Morton St,New York County,,88.93415497
1222582,Lexington Avenue,E 32nd St,New York County,,-67.38013505
1222589,Madison Avenue,E 28th St,New York County,,-67.27850185
1222590,Madison Avenue,E 27th St,New York County,,-67.27850185
1222591,Madison Avenue,E 33rd St,New York County,,-67.40540888
1222596,Second Avenue,E 35th St,New York County,,-67.40983737
1222597,Third Avenue,E 27th St,New York County,,-67.23499089
1222599,Third Avenue,E 31st St,New York County,,-67.14337698
1222605,Third Avenue,E 26th St,New York County,,-67.456939
1222606,Third Avenue,E 32nd St,New York County,,-67.27850185
1222607,Third Avenue,E 33rd St,New York County,,-67.10273688
1222609,Third Avenue,E 36th St,New York County,,-68.19859051
1222613,Second Avenue,E 41st St,New York County,,-66.60745024
1222614,Second Avenue,E 42nd St,New York County,,-67.456939
1222615,Madison,E 46th St,New York County,,-68.02549201
1222619,Broadway,W 49th St,New York County,,-66.71393508
1222620,Eighth Avenue,W 55th St,New York County,,-67.11318755
1222622,Ninth Avenue,W 53rd St,New York County,,-67.30929461
1222683,Second Avenue,E 62nd St,New York County,,-67.08489371
1222722,Broadway,W 61st St,New York County,,-67.4794344
1222724,Ninth Avenue,W 25th St,New York County,,-67.31944039
1222729,Washington Street,Leroy St,New York County,,-84.74619725
1222733,Greenwich Street,Leroy St,New York County,,-84.72610404
1222734,Greenwich Street,Leroy St,New York County,,-84.74619725
1222744,Ninth Avenue,W 39th St,New York County,,-67.09423034
1222747,First Avenue,E 22nd St,New York County,,-67.10013347
1222749,First Avenue,E 20th St,New York County,,-66.59219265
1222770,Eighth Avenue,W 48th St,New York County,,-65.37643521
1222773,Ninth Avenue,W 47th St,New York County,,-67.13957627
1222774,Seventh Avenue,W 25th St,New York County,,-68.49856568
1222778,Seventh Avenue,W 25th St,New York County,,-67.09423034
1222902,Fourth Avenue,87th St,Kings County,L,-75.30926379
1222903,Fourth Avenue,87th St,Kings County,L,-75.30926379
1222904,Fourth Avenue,87th St,Kings County,L,-75.30926379
1222916,Fourth Avenue,85th St,Kings County,L,-74.27907221
1222917,Fourth Avenue,85th St,Kings County,L,-74.27907221
1222918,Fourth Avenue,85th St,Kings County,L,-74.27907221
1222919,Fourth Avenue,87th St,Kings County,R,-57.9404364
1222920,Fourth Avenue,87th St,Kings County,R,-57.9404364
