OBJECTID,Id,St_label,Labelside,Address,Numberreal,Occupantre,Dm,DetailCat,StreetName,Angle,Direction
1,110046,Lexington Avenue,L,1104 LEXINGTON AVENUE,1104,Vacant (Available),,Available,Lexington Ave,36.29262973,W
2,110047,Lexington Avenue,L,1104 LEXINGTON AVENUE,1106,Loft Opticians,,Optical,Lexington Ave,36.29262973,W
3,110048,Lexington Avenue,L,138 EAST 78 STREET,1108,Vacant (Available),5/16/2017,Vacant,Lexington Ave,36.29262973,W
4,110049,Lexington Avenue,L,138 EAST 78 STREET,1110,Vacant (Available),,Available,Lexington Ave,36.29262973,W
5,110050,Lexington Avenue,L,138 EAST 78 STREET,1114,Butterfield Market,,Grocery,E 78th St,-67.8097111,S
6,110051,Lexington Avenue,L,138 EAST 78 STREET,1118,The Windsor Flowers of Distinction,6/15/2010,Candy/Gifts/Cards,E 78th St,-67.8097111,S
7,110052,Lexington Avenue,R,767 LEXINGTON AVENUE,767,Cohen's Fashion Optical,7/22/2009,Optical,Lexington Ave,36.13537661,E
8,110053,Lexington Avenue,R,767 LEXINGTON AVENUE,767,Yogurt & Candy World,10/27/2014,Candy/Gifts/Cards,Lexington Ave,36.13537661,E
9,110054,Lexington Avenue,R,767 LEXINGTON AVENUE,767,Torino Jewelers,7/20/2009,Accessories,Lexington Ave,36.13537661,E
10,110055,Lexington Avenue,R,773 LEXINGTON AVENUE,773,Duane Reade,,Convenience Store,Lexington Ave,36.13537661,E
11,110056,Lexington Avenue,R,773 LEXINGTON AVENUE,773,AT&T,,Electronics,E 61st St,-66.92958775,N
12,110057,Lexington Avenue,R,783 LEXINGTON AVENUE,783,Lush,4/10/2013,Cosmetics: Cosmetic Stores,E 61st St,-66.92958775,N
13,110058,Lexington Avenue,R,783 LEXINGTON AVENUE,785,Pick A Bagel,,Caf??,E 61st St,-66.92958775,N
14,110059,Lexington Avenue,R,787 LEXINGTON AVENUE,787,Bolton's,9/19/2012,Department Store,Lexington Ave,36.13537661,E
15,110060,Lexington Avenue,R,787 LEXINGTON AVENUE,789,Ultimate Spectacle,9/14/2012,Accessories,Lexington Ave,36.13537661,E
16,110061,Lexington Avenue,R,789 LEXINGTON AVENUE,789,Yuva Threading Salon (2nd Floor),6/19/2012,Salon/Spa,Lexington Ave,36.13537661,E
17,110062,Lexington Avenue,R,791 LEXINGTON AVENUE,793,Lexington Luggage,11/1/2011,Luggage,Lexington Ave,36.13537661,E
