OBJECTID,St_label,StreetName,Labelside
5,Lexington Avenue,E 78th St,L
6,Lexington Avenue,E 78th St,L
11,Lexington Avenue,E 61st St,R
12,Lexington Avenue,E 61st St,R
13,Lexington Avenue,E 61st St,R
21,Lexington Avenue,E 62nd St,R
22,Lexington Avenue,E 62nd St,R
28,Lexington Avenue,E 63rd St,R
38,Lexington Avenue,E 64th St,R
39,Lexington Avenue,E 64th St,R
48,Lexington Avenue,E 65th St,R
54,Lexington Avenue,E 68th St,R
60,Lexington Avenue,E 69th St,R
63,Lexington Avenue,E 70th St,R
64,Lexington Avenue,E 70th St,R
65,Lexington Avenue,E 70th St,R
73,Lexington Avenue,E 71st St,R
74,Lexington Avenue,E 71st St,R
75,Lexington Avenue,E 71st St,R
84,Lexington Avenue,E 72nd St,R
85,Lexington Avenue,E 78th St,R
95,Lexington Avenue,E 80th St,R
104,Lexington Avenue,E 61st St,L
105,Lexington Avenue,E 61st St,L
113,Lexington Avenue,E 62nd St,L
114,Lexington Avenue,E 62nd St,L
115,Lexington Avenue,E 62nd St,L
116,Lexington Avenue,E 62nd St,L
118,Lexington Avenue,E 63rd St,R
122,Lexington Avenue,E 63rd St,L
123,Lexington Avenue,E 63rd St,L
124,Lexington Avenue,E 63rd St,L
125,Lexington Avenue,E 63rd St,L
133,Lexington Avenue,E 64th St,L
134,Lexington Avenue,E 64th St,L
135,Lexington Avenue,E 64th St,L
141,Lexington Avenue,E 65th St,L
142,Lexington Avenue,E 65th St,L
143,Lexington Avenue,E 65th St,
149,Lexington Avenue,E 66th St,L
153,Lexington Avenue,E 69th St,L
162,Lexington Avenue,E 70th St,L
163,Lexington Avenue,E 70th St,L
172,Lexington Avenue,E 71st St,L
173,Lexington Avenue,E 71st St,L
174,Lexington Avenue,E 71st St,L
181,Lexington Avenue,E 72nd St,L
182,Lexington Avenue,E 78th St,L
186,Lexington Avenue,E 79th St,L
197,Lexington Avenue,E 80th St,L
198,Lexington Avenue,E 80th St,L
199,Lexington Avenue,E 80th St,L
202,Lexington Avenue,E 74th St,L
204,Lexington Avenue,E 74th St,L
205,Lexington Avenue,E 74th St,L
208,Lexington Avenue,E 71st St,L
210,Lexington Avenue,E 73rd St,L
215,Lexington Avenue,E 68th St,R
218,Madison Avenue,E 60th St,R
221,Madison Avenue,E 61st St,R
222,Madison Avenue,E 61st St,R
223,Madison Avenue,E 61st St,R
228,Madison Avenue,E 62nd St,
229,Madison Avenue,E 62nd St,R
230,Madison Avenue,E 62nd St,R
236,Madison Avenue,E 63rd St,R
237,Madison Avenue,E 63rd St,R
242,Madison Avenue,E 64th St,R
246,Madison Avenue,E 65th St,R
247,Madison Avenue,E 65th St,R
253,Madison Avenue,E 66th St,R
261,Madison Avenue,E 67th St,R
262,Madison Avenue,E 67th St,R
270,Madison Avenue,E 68th St,R
271,Madison Avenue,E 68th St,R
276,Madison Avenue,E 69th St,R
277,Madison Avenue,E 69th St,R
283,Madison Avenue,E 70th St,R
284,Madison Avenue,E 70th St,R
286,Madison Avenue,E 71st St,R
289,Madison Avenue,E 72nd St,R
297,Madison Avenue,E 73rd St,R
298,Madison Avenue,E 73rd St,R
303,Madison Avenue,E 74th St,R
304,Madison Avenue,E 74th St,R
311,Madison Avenue,E 75th St,R
320,Madison Avenue,E 76th St,R
321,Madison Avenue,E 76th St,R
322,Madison Avenue,E 76th St,R
328,Madison Avenue,E 77th St,R
329,Madison Avenue,E 77th St,R
332,Madison Avenue,E 78th St,R
333,Madison Avenue,E 78th St,R
342,Madison Avenue,E 80th St,R
345,Madison Avenue,E 64th St,R
355,Madison Avenue,E 62nd St,L
356,Madison Avenue,E 63rd St,L
357,Madison Avenue,E 64th St,L
358,Madison Avenue,E 64th St,
364,Madison Avenue,E 65th St,
365,Madison Avenue,E 65th St,L
370,Madison Avenue,E 66th St,L
371,Madison Avenue,E 66th St,L
372,Madison Avenue,E 66th St,L
378,Madison Avenue,E 67th St,L
379,Madison Avenue,E 67th St,L
380,Madison Avenue,E 67th St,L
386,Madison Avenue,E 68th St,L
387,Madison Avenue,E 68th St,L
388,Madison Avenue,E 68th St,L
392,Madison Avenue,E 70th St,L
395,Madison Avenue,E 71st St,L
396,Madison Avenue,E 71st St,L
399,Madison Avenue,E 73rd St,L
404,Madison Avenue,E 74th St,L
408,Madison Avenue,E 75th St,L
409,Madison Avenue,E 75th St,L
410,Madison Avenue,E 75th St,L
418,Madison Avenue,E 76th St,L
419,Madison Avenue,E 76th St,L
420,Madison Avenue,E 76th St,L
426,Madison Avenue,E 77th St,L
428,Madison Avenue,E 77th St,L
429,Madison Avenue,E 77th St,L
442,Madison Avenue,E 79th St,L
443,Madison Avenue,E 79th St,L
447,Madison Avenue,E 80th St,L
448,Madison Avenue,E 80th St,L
457,Madison Avenue,E 69th St,L
460,Second Avenue,E 60th St,R
461,Second Avenue,E 60th St,R
467,Second Avenue,E 61st St,
468,Second Avenue,E 61st St,R
474,Second Avenue,E 63rd St,R
480,Second Avenue,E 64th St,R
487,Second Avenue,E 66th St,R
492,Second Avenue,E 67th St,R
493,Second Avenue,E 68th St,R
504,Second Avenue,E 69th St,R
505,Second Avenue,E 69th St,R
513,Second Avenue,E 70th St,R
514,Second Avenue,E 70th St,R
516,Second Avenue,E 71st St,R
526,Second Avenue,E 72nd St,R
531,Second Avenue,E 73rd St,R
538,Second Avenue,E 74th St,R
539,Second Avenue,E 74th St,R
543,Second Avenue,E 75th St,R
547,Second Avenue,E 76th St,R
548,Second Avenue,E 76th St,R
549,Second Avenue,E 76th St,R
552,Second Avenue,E 77th St,R
560,Second Avenue,E 78th St,R
562,Second Avenue,E 78th St,R
578,Second Avenue,E 61st St,L
579,Second Avenue,E 61st St,L
580,Second Avenue,E 61st St,L
581,Second Avenue,E 61st St,L
591,Second Avenue,E 62nd St,L
592,Second Avenue,E 62nd St,L
593,Second Avenue,E 62nd St,L
594,Second Avenue,E 62nd St,L
596,Second Avenue,E 62nd St,
601,Second Avenue,E 63rd St,
602,Second Avenue,E 63rd St,L
603,Second Avenue,E 63rd St,L
610,Second Avenue,E 64th St,L
611,Second Avenue,E 64th St,L
614,Second Avenue,E 65th St,L
615,Second Avenue,E 65th St,L
618,Second Avenue,E 66th St,
619,Second Avenue,E 66th St,L
622,Second Avenue,E 67th St,L
625,Second Avenue,E 68th St,L
628,Second Avenue,E 69th St,L
629,Second Avenue,E 69th St,
636,Second Avenue,E 70th St,L
637,Second Avenue,E 70th St,L
638,Second Avenue,E 70th St,L
639,Second Avenue,E 70th St,
645,Second Avenue,E 71st St,L
646,Second Avenue,E 71st St,L
647,Second Avenue,E 71st St,L
661,Second Avenue,E 73rd St,L
662,Second Avenue,E 73rd St,L
663,Second Avenue,E 73rd St,L
671,Second Avenue,E 74th St,L
672,Second Avenue,E 74th St,L
673,Second Avenue,E 74th St,L
676,Second Avenue,E 75th St,L
677,Second Avenue,E 75th St,L
681,Second Avenue,E 76th St,L
682,Second Avenue,E 76th St,L
683,Second Avenue,E 76th St,L
690,Second Avenue,E 77th St,L
691,Second Avenue,E 77th St,L
692,Second Avenue,E 77th St,L
693,Second Avenue,E 77th St,L
699,Second Avenue,E 78th St,L
705,Second Avenue,E 80th St,L
712,Second Avenue,E 60th St,
713,Second Avenue,E 63rd St,L
719,Second Avenue,E 73rd St,L
722,Third Avenue,E 60th St,R
728,Third Avenue,E 61st St,R
729,Third Avenue,E 61st St,R
736,Third Avenue,E 62nd St,R
740,Third Avenue,E 63rd St,R
741,Third Avenue,E 63rd St,R
747,Third Avenue,E 64th St,R
753,Third Avenue,E 66th St,R
756,Third Avenue,E 67th St,R
760,Third Avenue,E 68th St,R
763,Third Avenue,E 69th St,R
766,Third Avenue,E 70th St,R
767,Third Avenue,E 70th St,R
768,Third Avenue,E 70th St,R
774,Third Avenue,E 71st St,R
778,Third Avenue,E 71st St,R
782,Third Avenue,E 72nd St,R
789,Third Avenue,E 74th St,R
790,Third Avenue,E 74th St,R
795,Third Avenue,E 75th St,R
796,Third Avenue,E 75th St,R
798,Third Avenue,E 75th St,R
801,Third Avenue,E 76th St,R
802,Third Avenue,E 76th St,R
803,Third Avenue,E 76th St,R
809,Third Avenue,E 77th St,R
810,Third Avenue,E 77th St,R
815,Third Avenue,E 78th St,R
816,Third Avenue,E 78th St,R
824,Third Avenue,E 79th St,
825,Third Avenue,E 79th St,R
833,Third Avenue,E 80th St,R
835,Third Avenue,E 60th St,L
840,Third Avenue,E 61st St,L
841,Third Avenue,E 61st St,L
842,Third Avenue,E 61st St,L
847,Third Avenue,E 62nd St,L
848,Third Avenue,E 62nd St,L
852,Third Avenue,E 63rd St,L
853,Third Avenue,E 63rd St,L
854,Third Avenue,E 63rd St,L
857,Third Avenue,E 64th St,L
860,Third Avenue,E 66th St,L
861,Third Avenue,E 66th St,L
865,Third Avenue,E 67th St,L
866,Third Avenue,E 67th St,L
868,Third Avenue,E 68th St,L
871,Third Avenue,E 69th St,L
879,Third Avenue,E 70th St,L
890,Third Avenue,E 73rd St,L
891,Third Avenue,E 73rd St,L
894,Third Avenue,E 74th St,L
898,Third Avenue,E 75th St,L
900,Third Avenue,E 75th St,L
906,Third Avenue,E 76th St,L
907,Third Avenue,E 76th St,L
908,Third Avenue,E 76th St,L
909,Third Avenue,E 76th St,L
915,Third Avenue,E 77th St,L
916,Third Avenue,E 78th St,L
921,Third Avenue,E 79th St,L
922,Third Avenue,E 79th St,L
923,Third Avenue,E 79th St,L
928,Third Avenue,E 80th St,L
929,Third Avenue,E 80th St,L
931,Third Avenue,E 66th St,L
937,Third Avenue,E 61st St,R
940,Third Avenue,E 62nd St,L
941,Third Avenue,E 80th St,R
946,York Avenue,E 79th St,R
953,York Avenue,E 78th St,R
954,York Avenue,E 80th St,L
959,York Avenue,E 79th St,L
960,York Avenue,E 79th St,L
966,York Avenue,E 78th St,L
967,York Avenue,E 78th St,L
968,York Avenue,E 78th St,L
972,York Avenue,E 77th St,L
974,York Avenue,E 77th St,L
975,York Avenue,E 77th St,L
979,York Avenue,E 76th St,L
1043,57th Street,Lexington Ave,L
1073,57th Street,Home Improvement,R
1121,Fifth Avenue,E 51st St,R
1125,Fifth Avenue,E 52nd St,R
1126,Fifth Avenue,E 52nd St,R
1130,Fifth Avenue,E 53rd St,R
1131,Fifth Avenue,E 53rd St,R
1136,Fifth Avenue,E 54th St,R
1142,Fifth Avenue,E 55th St,R
1145,Fifth Avenue,E 56th St,R
1146,Fifth Avenue,E 56th St,R
1153,Fifth Avenue,E 59th St,R
1156,Fifth Avenue,E 60th St,R
1158,Fifth Avenue,E 59th St,R
1159,Fifth Avenue,E 54th St,R
1161,Fifth Avenue,E 55th St,R
1166,First Avenue,E 51st St,R
1172,First Avenue,E 52nd St,R
1173,First Avenue,E 52nd St,R
1180,First Avenue,E 53rd St,R
1181,First Avenue,E 53rd St,R
1183,First Avenue,E 54th St,R
1190,First Avenue,E 55th St,R
1194,First Avenue,E 56th St,R
1195,First Avenue,E 56th St,R
1196,First Avenue,E 56th St,R
1204,First Avenue,E 57th St,
1210,First Avenue,E 58th St,R
1211,First Avenue,E 58th St,R
1212,First Avenue,E 58th St,R
1216,First Avenue,E 59th St,R
1217,First Avenue,E 59th St,R
1218,First Avenue,E 50th St,L
1223,First Avenue,E 51st St,L
1224,First Avenue,E 51st St,L
1225,First Avenue,E 51st St,L
1227,First Avenue,E 52nd St,L
1228,First Avenue,E 52nd St,L
1229,First Avenue,E 52nd St,L
1236,First Avenue,E 53rd St,L
1237,First Avenue,E 53rd St,L
1238,First Avenue,E 53rd St,L
1245,First Avenue,E 54th St,L
1246,First Avenue,E 54th St,L
1253,First Avenue,E 55th St,L
1254,First Avenue,E 55th St,L
1255,First Avenue,E 55th St,L
1256,First Avenue,E 55th St,L
1258,First Avenue,E 56th St,L
1261,First Avenue,E 57th St,L
1262,First Avenue,E 57th St,L
1263,First Avenue,E 57th St,L
1271,First Avenue,E 58th St,L
1272,First Avenue,E 58th St,L
1277,First Avenue,E 59th St,L
1278,First Avenue,E 59th St,L
1279,First Avenue,E 59th St,L
1280,First Avenue,Ed Koch Queensboro Brg-Upper Level,L
1282,First Avenue,Ed Koch Queensboro Brg-Lower Level,R
1286,First Avenue,E 50th St,L
1288,First Avenue,E 50th St,L
1292,First Avenue,E 51st St,R
1293,First Avenue,E 50th St,R
1296,Lexington Avenue,E 49th St,R
1298,Lexington Avenue,E 50th St,R
1302,Lexington Avenue,E 51st St,R
1303,Lexington Avenue,E 51st St,R
1307,Lexington Avenue,E 52nd St,R
1308,Lexington Avenue,E 52nd St,R
1315,Lexington Avenue,E 54th St,R
1322,Lexington Avenue,E 55th St,R
1323,Lexington Avenue,E 55th St,R
1331,Lexington Avenue,E 56th St,R
1332,Lexington Avenue,E 56th St,R
1339,Lexington Avenue,E 57th St,R
1344,Lexington Avenue,E 58th St,R
1347,Lexington Avenue,E 49th St,L
1349,Lexington Avenue,E 50th St,L
1352,Lexington Avenue,E 51st St,L
1355,Lexington Avenue,E 52nd St,L
1356,Lexington Avenue,E 52nd St,L
1359,Lexington Avenue,E 53rd St,L
1362,Lexington Avenue,E 54th St,L
1370,Lexington Avenue,E 55th St,L
1380,Lexington Avenue,E 56th St,L
1381,Lexington Avenue,E 56th St,L
1382,Lexington Avenue,E 56th St,
1399,Lexington Avenue,E 58th St,L
1400,Lexington Avenue,E 58th St,L
1403,Lexington Avenue,E 59th St,L
1412,Madison Avenue,E 55th St,R
1414,Madison Avenue,E 56th St,R
1417,Madison Avenue,E 56th St,R
1426,Madison Avenue,E 58th St,R
1427,Madison Avenue,E 58th St,R
1433,Madison Avenue,E 59th St,R
1434,Madison Avenue,E 59th St,R
1437,Madison Avenue,E 60th St,R
1439,Madison Avenue,E 49th St,R
1440,Madison Avenue,E 50th St,R
1443,Madison Avenue,E 51st St,R
1448,Madison Avenue,E 52nd St,R
1449,Madison Avenue,E 52nd St,R
1455,Madison Avenue,E 53rd St,R
1456,Madison Avenue,E 53rd St,R
1462,Madison Avenue,E 54th St,R
1466,Madison Avenue,E 55th St,R
1471,Madison Avenue,E 58th St,L
1473,Madison Avenue,E 51st St,L
1477,Madison Avenue,E 52nd St,L
1485,Park Avenue,E 53rd St,R
1488,Park Avenue,E 54th St,R
1492,Park Avenue,E 55th St,R
1495,Park Avenue,E 56th St,R
1496,Park Avenue,E 56th St,R
1504,Park Avenue,E 58th St,R
1505,Park Avenue,E 58th St,R
1508,Park Avenue,E 59th St,R
1510,Park Avenue,E 54th St,L
1516,Park Avenue,E 56th St,L
1523,Park Avenue,E 58th St,L
1524,Park Avenue,E 58th St,L
1529,Park Avenue,E 59th St,L
1530,Park Avenue,E 49th St,L
1533,Park Avenue,E 50th St,L
1534,Park Avenue,E 50th St,L
1535,Park Avenue,E 51st St,L
1536,Park Avenue,E 51st St,L
1539,Park Avenue,E 52nd St,L
1542,Park Avenue,E 53rd St,L
1550,Park Avenue,E 55th St,L
1552,Park Avenue,E 56th St,L
1554,Park Avenue,E 49th St,
1556,Second Avenue,E 59th St,L
1557,Second Avenue,E 60th St,
1558,Second Avenue,E 49th St,R
1559,Second Avenue,E 49th St,R
1564,Second Avenue,E 50th St,R
1565,Second Avenue,E 50th St,R
1570,Second Avenue,E 51st St,R
1571,Second Avenue,E 51st St,R
1572,Second Avenue,E 51st St,R
1578,Second Avenue,E 52nd St,R
1579,Second Avenue,E 52nd St,R
1580,Second Avenue,E 52nd St,R
1581,Second Avenue,E 52nd St,
1585,Second Avenue,E 53rd St,R
1586,Second Avenue,E 53rd St,R
1592,Second Avenue,E 54th St,R
1593,Second Avenue,E 54th St,R
1594,Second Avenue,E 54th St,R
1598,Second Avenue,E 55th St,R
1601,Second Avenue,E 56th St,R
1602,Second Avenue,E 56th St,R
1609,Second Avenue,E 58th St,R
1610,Second Avenue,E 58th St,R
1611,Second Avenue,E 57th St,R
1613,Second Avenue,E 50th St,L
1614,Second Avenue,E 50th St,L
1622,Second Avenue,E 51st St,L
1628,Second Avenue,E 52nd St,L
1633,Second Avenue,E 53rd St,L
1634,Second Avenue,E 53rd St,L
1639,Second Avenue,E 54th St,L
1644,Second Avenue,E 55th St,L
1645,Second Avenue,E 55th St,L
1651,Second Avenue,E 56th St,L
1656,Second Avenue,E 57th St,L
1663,Second Avenue,E 58th St,L
1669,Second Avenue,E 59th St,L
1670,Second Avenue,E 59th St,L
1672,Second Avenue,E 54th St,L
1677,Third Avenue,E 52nd St,R
1679,Third Avenue,E 54th St,R
1681,Third Avenue,E 55th St,R
1684,Third Avenue,E 56th St,R
1686,Third Avenue,E 57th St,R
1690,Third Avenue,E 58th St,R
1691,Third Avenue,E 58th St,R
1698,Third Avenue,E 59th St,R
1699,Third Avenue,E 59th St,R
1701,Third Avenue,E 53rd St,L
