Address,City,State,Zip,Store Type
101 LIBERTY STREET,NEW YORK,NY,10007,
550 BROADWAY,NEW YORK,NY,10012,"Shoes, Petites"
485 FULTON STREET,BROOKLYN,NY,11201,Factory Store
105 FIFTH AVE,NEW YORK,NY,10003,
17-19 W. 34th Street,NEW YORK,NY,10001,Petites
107 E. 42ND STREET,NEW YORK,NY,10017,
626 5th Ave,NEW YORK,NY,10020,"Shoes, Petites"
130 E. 59TH STREET,NEW YORK,NY,10022,"Shoes, Petites"
1976 BROADWAY,NEW YORK,NY,10023,Petites
1529 3rd Avenue,NEW YORK,NY,10028,"Shoes, Petites"
2373 BROADWAY,NEW YORK,NY,10024,
422 86TH STREET,BROOKLYN,NY,11209,Factory Store
225 River Rd,EDGEWATER,NJ,07020,"Shoes, Petites"
37-15 82ND STREET,JACKSON HEIGHTS,NY,11372,Factory Store
261 125TH STREET,NEW YORK,NY,10027,Factory Store
71-18 AUSTIN ST,FOREST HILLS,NY,11375,Factory Store
1000 KAPKOWSKI ROAD,ELIZABETH,NJ,07201,"Factory Store, Petites"
1 Riverside Square,HACKENSACK,NJ,07601,Shoes
655 BERGEN TOWN CENTER,PARAMUS,NJ,07652,Factory Store
1 Garden State Plaza,PARAMUS,NJ,07652,"Shoes, Petites"
454 DUNE ROAD,CENTRAL VALLEY,NY,10917,"Factory Store, Petites"
431 CENTRAL AVE,CEDARHURST,NY,11516,Shoes
1605 WILLOWBROOK MALL,WAYNE,NJ,07470,Shoes
1950 NORTHERN BLVD,MANHASSET,NY,11030,
137 CENTRAL AVE,WESTFIELD,NJ,07090,Petites
1200 Morris Turnpike,SHORT HILLS,NJ,07078,"Shoes, Petites"
1420 MARKET STREET,YONKERS,NY,10710,
630 OLD COUNTRY RD,GARDEN CITY,NY,11530,
700 WHITEPLAINS RD,SCARSDALE,NY,10583,"Shoes, Petites"
519 MENLO PARK,EDISON,NJ,08837,
1060B Old Country Road,WESTBURY,NY,11590,Factory Store
407 CHESTNUT RIDGE RD,WOODCLIFF LAKE,NJ,07677,"Shoes, Petites"
125 WESTCHESTER AVE,WHITE PLAINS,NY,10601,"Shoes, Petites"
525 ROUTE 35,SHREWSBURY,NJ,07702,Petites
75 WEST ROUTE 59,CLARKSTOWN,NY,10954,
419 SOUTH OYSTER BAY ROAD,PLAINVIEW,NY,11803,Factory Store
3801 US HIGHWAY #9,OLD BRIDGE,NJ,08857,
3056 State Route 10,DENVILLE,NJ,07834,"Shoes, Petites"
511 SHOPPES BLVD,NORTH BRUNSWICK TWP,NJ,08902,Petites
160 WALT WHITMAN RD,HUNTINGTON STATION,NY,11746,Shoes
640 COMMONS WAY,BRIDGEWATER,NJ,08807,"Shoes, Petites"
100 Greyrock Pl.,STAMFORD,CT,06901,
ONE PREMIUM OUTLETS BLVD,TINTON FALLS,NJ,07753,"Factory Store, Petites"
130 S.O.C. ST.,CHESTER,NJ,07930,Petites
665 THE ARCHES CIRCLE,DEER PARK,NY,11729,"Factory Store, Petites"
27 South Moger Avenue,MT KISCO,NY,10549,"Shoes, Petites"
2150 HIGHWAY 35,SEA GIRT,NJ,08750,"Shoes, Petites"
537 MONMOUTH ROAD,JACKSON,NJ,08527,Factory Store
3535 US HIGHWAY 1,PRINCETON,NJ,08540,
44 Main Street,WESTPORT,CT,06880,"Shoes, Petites"
215 Smith Haven Mall,LAKE GROVE,NY,11755,"Shoes, Petites"
1499 POST RD,FAIRFIELD,CT,06824,"Shoes, Petites"
7 Backus Ave.,DANBURY,CT,06810,"Shoes, Petites"
5065 MAIN ST,TRUMBULL,CT,06611,Petites
1650 Boston Post Road,MILFORD,CT,06460,
2001 South Road,POUGHKEEPSIE,NY,12601,
1886 FRANKLIN MILLS CIRCLE,PHILADELPHIA,PA,19154,Factory Store
1541 MAIN STREET,WARRINGTON,PA,18976,
"200 TANGER MALL DRIVE, SUITE 1700",RIVERHEAD,NY,11901,"Factory Store, Petites"
2500 W MORELAND RD,WILLOW GROVE,PA,19090,"Shoes, Petites"
1000 ROUTE 611,TANNERSVILLE,PA,18372,"Factory Store, Petites"
246 MONTGOMERY MALL,NORTH WALES,PA,19454,
2960 CENTER VALLEY PARKWAY,CENTER VALLEY,PA,18034,Petites
500 Route 73 South,MARLTON,NJ,08053,Shoes
2000 ROUTE 38,CHERRY HILL,NJ,08002,
1911 CHESTNUT STREET,PHILADELPHIA,PA,19103,Factory Store
1401 Walnut Street,PHILADELPHIA,PA,19103,"Shoes, Petites"
61 Anderson Avenue,ARDMORE,PA,19003,"Shoes, Petites"
438 Mall Blvd.,KING OF PRUSSIA,PA,19406,"Shoes, Petites"
100 PREMIUM OUTLETS DRIVE,BLACKWOOD,NJ,08012,Factory Store
20A Killingworth Turnpike,CLINTON,CT,06413,"Factory Store, Petites"
554 WESTFARMS MALL,FARMINGTON,CT,06032,Petites
2000 ATLANTIC AVENUE,ATLANTIC CITY,NJ,08401,"Factory Store, Petites"
100 CITADEL DRIVE,COMMERCE,CA,90040,"Factory Store, Petites"
1118 GLENDALE GALLERIA,GLENDALE,CA,91210,"Shoes, Petites"
189 The Grove Drive,LOS ANGELES,CA,90036,Petites
8500 Beverly Blvd,LOS ANGELES,CA,90048,Shoes
150 W Colorado Blvd,PASADENA,CA,91105,"Shoes, Petites"
10250 Santa Monica Blvd,LOS ANGELES,CA,90067,"Shoes, Petites"
10800 W Pico Blvd,LOS ANGELES,CA,90064,"Shoes, Petites"
12155 VENTURA BLVD,STUDIO CITY,CA,91604,
14006 RIVERSIDE DR,SHERMAN OAKS,CA,91423,Petites
2004 E Park Place,EL SEGUNDO,CA,90245,
1202 3rd Street Promenade,SANTA MONICA,CA,90401,"Shoes, Petites"
221 LOS CERRITOS MALL,CERRITOS,CA,90703,"Shoes, Petites"
3525 CARSON STREET,TORRANCE,CA,90503,
550 DEEP VALLEY DR,ROLLING HILLS ESTATE,CA,90274,"Shoes, Petites"
5015 E 2nd St,LONG BEACH,CA,90803,
9301 Tampa Avenue,NORTHRIDGE,CA,91324,Shoes
2018 BREA MALL,BREA,CA,92821,
6600 TOPANGA CNYN BLVD,CANOGA PARK,CA,91303,Petites
"20 CITY BOULEVARD WEST, SUITE #601",ORANGE,CA,92868,Factory Store
13855 CITY CENTER DRIVE,CHINO HILLS,CA,91709,"Shoes, Petites"
24201 W. Valencia Blvd.,VALENCIA,CA,91355,Petites
3333 Bristol St,COSTA MESA,CA,92626,Petites
234 WEST HILLCREST DRIVE,THOUSAND OAKS,CA,91360,Shoes
1 MILLS CIRCLE SUITE 834,ONTARIO,CA,91764,"Factory Store, Petites"
