Address,City,State,Zip,Store Type
23rd & 8th - NY,NEW YORK,NY,10011,Gap
60 WEST 34TH STREET,NEW YORK,NY,10001,"Gap, GapBody, GapKids, babyGap"
122 5TH AVE,NEW YORK,NY,10011,"Gap, GapBody, GapKids, babyGap"
1212 AVENUE OF THE AMERICAS,NEW YORK,NY,10036,"Gap, GapBody, GapKids, babyGap"
657 3RD AVE,NEW YORK,NY,10017,"Gap, GapKids, babyGap"
680 5TH AVE,NEW YORK,NY,10019,"Gap, GapBody, GapKids, babyGap"
750 BROADWAY,NEW YORK,NY,10003,Gap
One Astor Place,NEW YORK,NY,10003,"Gap, GapBody, babyGap"
734 LEXINGTON AVE,NEW YORK,NY,10022,"Gap, GapBody, GapKids, babyGap"
93 Mercer Street,NEW YORK,NY,10012,
1988 Broadway,NEW YORK,NY,10023,"Gap, GapBody, GapKids, babyGap"
222 WASHINGTON ST,HOBOKEN,NJ,07030,"GapKids, babyGap"
3149 KENNEDY BLVD,NORTH BERGEN,NJ,07047,Gap Outlet
172 BROADWAY,NEW YORK,NY,10038,"Gap, GapBody, GapKids, babyGap"
1511 3RD AVE,NEW YORK,NY,10028,"Gap, GapBody, GapKids, babyGap"
25 PROMENADE,EDGEWATER,NJ,07020,"Gap, GapKids, babyGap"
400 Fulton Street,BROOKLYN,NY,11201,Gap Outlet
31-02 STEINWAY ST,LONG ISLAND CITY,NY,11103,GapKids
31-48 STEINWAY STREET,LONG ISLAND CITY,NY,11103,Gap
264 W. 125TH STREET,NEW YORK,NY,10027,Gap Outlet
37-32 82ND STREET,QUEENS,NY,11372,Gap Outlet
TBD,EAST RUTHERFORD,NJ,07073,
90-15 Queens Blvd,ELMHURST,NY,11373,"Gap, GapBody, GapKids, babyGap"
1016 FLATBUSH AVE,BROOKLYN,NY,11226,Gap Outlet
6939 Austin Street,FOREST HILLS,NY,11375,"Gap, GapBody, GapKids, babyGap"
845 WHITE PLAINS,BRONX,NY,10473,Gap Outlet
423 86th Street,BROOKLYN,NY,11209,Gap Outlet
141 MARKET STREET,NEWARK,NJ,07102,Gap Outlet
409 GATEWAY DRIVE,BROOKLYN,NY,11239,Gap Outlet
271 E. FORDHAM ROAD,BRONX,NY,10458,Gap Outlet
2101 86TH ST,BROOKLYN,NY,11214,"Gap, GapBody, GapKids"
16020 CROSSBAY BLVD,HOWARD BEACH,NY,11414,Gap
209 Riverside Square,HACKENSACK,NJ,07601,"Gap, GapBody, GapKids"
166-02 JAMAICA AVENUE,JAMAICA,NY,11432,Gap Outlet
651 Kapkowski Road,ELIZABETH,NJ,07201,Gap Outlet
211-15 26TH AVENUE,BAYSIDE,NY,11360,"Gap, GapBody, GapKids"
200 BAYCHESTER AVE,BRONX,NY,10475,"Gap, GapBody, GapKids, babyGap"
640 BERGEN TOWN CENTER,PARAMUS,NJ,07652,Gap Outlet
1 Garden State Plaza,PARAMUS,NJ,07652,"Gap, GapBody, GapKids, babyGap"
629 VALLEY ROAD,UPPER MONTCLAIR,NJ,07043,Gap
33 Mall Walk,YONKERS,NY,10704,"Gap, GapBody, GapKids, babyGap"
2655 Richmond Avenue,STATEN ISLAND,NY,10314,"GapKids, babyGap"
700 PARAMUS PARK,PARAMUS,NJ,07652,"Gap, GapKids, babyGap"
2655 Richmond Ave.,STATEN ISLAND,NY,10314,"Gap, GapBody"
ONE RIDGE HILL ROAD,YONKERS,NY,10710,"Gap, GapBody, GapKids, babyGap"
1400 Willowbrook Mall,WAYNE,NJ,07470,"Gap, GapBody, GapKids, babyGap"
235 East Ridgewood Avenue,RIDGEWOOD,NJ,07451,"Gap, GapBody, GapKids, babyGap"
1950 NORTHERN BOULEVARD,MANHASSET,NY,11030,"Gap, GapBody, GapKids, babyGap"
700 POST RD,SCARSDALE,NY,10583,"Gap, GapBody, GapKids, babyGap"
1340 BOSTON POST RD,LARCHMONT,NY,10538,"Gap, GapKids"
112 Eisenhower Parkway,LIVINGSTON,NJ,07039,"Gap, GapBody, GapKids, babyGap"
1200 MORRIS TURNPIKE,SHORT HILLS,NJ,07078,"Gap, GapBody, GapKids, babyGap"
1060A Old Country Road,GARDEN CITY,NY,11530,Gap Outlet
207 EAST BROAD ST,WESTFIELD,NJ,07090,"Gap, GapKids, babyGap"
630 OLD COUNTRY RD,GARDEN CITY,NY,11530,"Gap, GapBody, GapKids, babyGap"
3501 Long Beach Rd,OCEANSIDE,NY,11572,"Gap, GapBody, GapKids, babyGap"
423 CHESTNUT RIDGE RD,WOODCLIFF LAKE,NJ,07677,"Gap, GapBody, GapKids"
1515 US HIGHWAY RT 22,WATCHUNG,NJ,07069,Gap Outlet
491 MENLO PARK,EDISON,NJ,08837,"Gap, GapKids, babyGap"
125 Westchester Avenue,WHITE PLAINS,NY,10601,babyGap
125 WESTCHESTER AVENUE,WHITE PLAINS,NY,10601,Gap
6121 FASHION DRIVE,NANUET,NY,10954,"Gap, GapBody, GapKids, babyGap"
2520 Palisades Center Drive,WEST NYACK,NY,10994,"Gap, GapBody, GapKids, babyGap"
1970 MERRICK RD,MERRICK,NY,11566,"Gap, GapBody, GapKids, babyGap"
403 South Oyster Bay Road,PLAINVIEW,NY,11803,"Gap, GapBody, GapKids"
3056 State Route 10,DENVILLE,NJ,07834,"Gap, GapBody, GapKids, babyGap"
591 BROAD ST,SHREWSBURY,NJ,07702,"Gap, GapBody, GapKids"
160 WALT WHITMAN ROAD,HUNTINGTON STATION,NY,11746,"Gap, GapBody, GapKids, babyGap"
100 GREYROCK PLACE,STAMFORD,CT,06901,"Gap, GapBody, GapKids, babyGap"
65 SOUTH MOGER,MT KISCO,NY,10549,"Gap, GapBody, GapKids, babyGap"
375 Route 202,BRIDGEWATER,NJ,08807,"Gap, GapBody, GapKids, babyGap"
701 THE ARCHES CIRCLE,DEER PARK,NY,11729,Gap Outlet
