Theater Name,Address,City,State,Zip
Agoura Hills Stadium 8 - Agoura Hills,29045 Agoura Road,Agoura Hills,CA,91301
Bruin - Westwood Village,948 Broxton Avenue,Los Angeles,CA,90024
Commerce 14 - City of Commerce,950 Goodrich Boulevard,City of Commerce,CA,90022
Granada Hills 9 - Granada Hills,16830 Devonshire Street,Granada Hills,CA,91344
Norwalk 8 - Norwalk,13917 Pioneer Boulevard,Norwalk,CA,90650
Valley Plaza 6 - North Hollywood,6355 Bellingham Avenue,North Hollywood,CA,91606
Van Nuys Plant 16 - Van Nuys,7876 Van Nuys Boulevard,Van Nuys,CA,91402
Village - Westwood Village,961 Broxton Avenue,Los Angeles,CA,90024
Directors Cut Cinema at Rancho Niguel - Laguna Niguel,25471 Rancho Niguel Road,Laguna Niguel,CA,92677
Lido Theatre - Newport Beach,3459 Via Lido,Newport Beach,CA,92663
San Juan Capistrano - San Juan Capistrano,26762 Verdugo Street,San Juan Capistrano,CA,92675
South Coast Village - Santa Ana/Costa Mesa,1561 W Sunflower Ave,Santa Ana,CA,92704
Westminster 10 - Westminster,6721 Westminster Boulevard,Westminster,CA,92683
Fontana 8 - Fontana,16741 Valley Boulevard,Fontana,CA,92335
Perris 10 - Perris,1688 N Perris Blvd,Perris,CA,92571
Sterling 6 - San Bernardino,2373 Sterling Avenue,San Bernardino,CA,92404
Towngate 8 - Moreno Valley,"12625 Frederick Street, Suite L",Moreno Valley,CA,92553
University Village 10 - Riverside,1201 A University Avenue,Riverside,CA,92507
Buenaventura 6 - Ventura,1440 Eastman Avenue,Ventura,CA,93003
Paseo Camarillo Cinemas - Camarillo,390 N Lantana Street,Camarillo,CA,93010
Santa Paula 7 - Santa Paula,550 W Main St,Santa Paula,CA,93060
Westlake Village Twin - Westlake Village,4711 Lakeview Canyon Road,Westlake Village,CA,91361
Academy Cinemas - Pasadena,1003 E Colorado Boulevard,Pasadena,CA,91106
Foothill Cinema Stadium 10 - Azusa ,854 E Alosta Ave,Azusa,CA,91702
Tropicana Cinemas,3330 East Tropicana,Las Vegas,NV,89121
Main Street Cinemas - Yuma,111 S Main St.,Yuma,AZ,85364
Cathedral City 10 - Cathedral City,34491 Date Palm Drive,Cathedral City,CA,92234
